,Squad,no_players,no_matches,passes_Cmp,passes_Att,Cmp%,TotDist,PrgDist,s_passes_Cmp,s_passes_Att,s_passes_Cmp%,m_passes_Cmp,m_passes_Att,m_passes_Cmp%,l_passes_Cmp,l_passes_Att,l_passes_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Arsenal,23,9,3277,4038,81.2,56872,18852,1557,1738,89.6,1431,1648,86.8,244,485,50.3,13,10.8,9.7,2.2,100,237,89,14,358
1,Aston Villa,21,9,3617,4325,83.6,60987,21099,1709,1874,91.2,1567,1749,89.6,257,490,52.4,14,10.8,10.7,3.2,85,325,79,12,316
2,Bournemouth,23,9,2867,3776,75.9,53182,20757,1223,1423,85.9,1312,1553,84.5,302,634,47.6,9,10.7,8.6,-1.7,108,262,71,20,362
3,Brentford,20,9,3499,4374,80,64398,23459,1505,1721,87.4,1565,1821,85.9,374,648,57.7,10,10.5,9.3,-0.5,81,245,66,23,311
4,Brighton,26,9,3946,4762,82.9,67174,24137,1913,2118,90.3,1603,1832,87.5,345,577,59.8,11,8.9,8.8,2.1,91,293,81,20,428
5,Chelsea,23,9,4148,4909,84.5,72068,23989,1813,1990,91.1,1922,2132,90.2,318,567,56.1,16,14.8,9.8,1.2,102,327,79,17,336
6,Crystal Palace,23,9,3195,4175,76.5,57643,21318,1384,1613,85.8,1442,1696,85,304,638,47.6,3,7.6,6.9,-4.6,93,268,67,17,346
7,Everton,22,9,2487,3334,74.6,48182,20604,1090,1276,85.4,964,1164,82.8,376,686,54.8,7,7.1,7.9,-0.1,75,210,66,15,253
8,Fulham,21,9,3677,4475,82.2,65628,22099,1584,1766,89.7,1674,1897,88.2,344,601,57.2,11,11.2,9.9,-0.2,105,303,80,25,344
9,Ipswich Town,27,9,2860,3613,79.2,49578,18532,1357,1503,90.3,1207,1414,85.4,245,514,47.7,7,6.5,5.1,0.5,70,222,50,14,250
10,Leicester City,22,9,3233,4024,80.3,54148,21320,1578,1772,89.1,1248,1435,87,282,545,51.7,11,7.4,7.3,3.6,71,261,62,18,279
11,Liverpool,23,9,4401,5239,84,74006,25626,2145,2341,91.6,1848,2067,89.4,312,612,51,14,12.8,11.6,1.2,104,325,85,15,384
12,Manchester City,20,9,5478,6174,88.7,85820,22791,2964,3193,92.8,2104,2293,91.8,305,453,67.3,14,15.6,17.7,-1.6,147,414,148,17,541
13,Manchester Utd,22,9,4078,4912,83,67265,23461,2018,2246,89.8,1640,1846,88.8,303,566,53.5,8,12.7,9.8,-4.7,106,312,74,17,369
14,Newcastle Utd,19,9,3478,4317,80.6,59401,22245,1692,1936,87.4,1477,1659,89,268,546,49.1,8,11.4,8.7,-3.4,91,267,77,16,346
15,Nott'ham Forest,22,9,2588,3480,74.4,43991,17909,1332,1528,87.2,923,1153,80.1,248,564,44,5,7.8,6.5,-2.8,90,212,52,12,253
16,Southampton,28,9,4319,5011,86.2,69495,21891,2168,2356,92,1810,2008,90.1,245,449,54.6,4,8.1,6.9,-4.1,74,265,60,8,300
17,Tottenham,21,9,4465,5315,84,73388,24297,2116,2354,89.9,1950,2173,89.7,276,484,57,13,12.2,11.7,0.8,115,375,127,22,501
18,West Ham,23,9,3192,3985,80.1,56511,20643,1477,1669,88.5,1295,1510,85.8,344,598,57.5,5,9,8.4,-4,89,258,69,19,312
19,Wolves,23,9,2963,3757,78.9,52865,18094,1360,1546,88,1252,1437,87.1,292,573,51,9,7.1,5.6,1.9,70,211,52,17,234
